iter	Logloss
309	0.2380444261
310	0.2380094364
311	0.237973037
312	0.2379465124
313	0.2379223541
314	0.2378783291
315	0.2378316932
316	0.2377947479
317	0.2377580038
318	0.2377161318
319	0.2376875166
320	0.2376556431
321	0.23762262
322	0.2375953601
323	0.2375626662
324	0.2375243364
325	0.2374909775
326	0.2374613708
327	0.2374375228
328	0.2374056571
329	0.2373716235
330	0.2373316007
331	0.2373134519
332	0.2372829577
333	0.2372465429
334	0.2372215286
335	0.237173359
336	0.2371325626
337	0.2371030798
338	0.2370759428
339	0.2370450734
340	0.2370071829
341	0.236971017
342	0.2369431672
343	0.2369013466
344	0.2368591106
345	0.2368209339
346	0.2367948601
347	0.2367622406
348	0.236733502
349	0.2367020922
350	0.2366793852
351	0.2366522015
352	0.236619116
353	0.2365922817
354	0.2365679461
355	0.236540241
356	0.2365014179
357	0.2364730726
358	0.2364432884
359	0.2364013801
360	0.2363744113
361	0.2363381697
362	0.2363068752
363	0.2362743828
364	0.2362456366
365	0.2362104011
366	0.2361773812
367	0.236142155
368	0.2361150905
369	0.2360848649
370	0.2360537296
371	0.2360193503
372	0.2359850689
373	0.235961316
374	0.235936902
375	0.2358956616
376	0.2358753139
377	0.235838157
378	0.2358138221
379	0.2357860647
380	0.2357595585
381	0.2357326957
382	0.2357077737
383	0.2356745722
384	0.2356449071
385	0.2356110503
386	0.2355798287
387	0.235549918
388	0.2355258541
389	0.2354993899
390	0.2354760099
391	0.2354507443
392	0.2354129395
393	0.2353880672
394	0.2353533211
395	0.2353261303
396	0.2352926829
397	0.2352565735
398	0.2352274308
399	0.2352002452
400	0.2351714429
401	0.2351390553
402	0.2351119799
403	0.2350858186
404	0.2350529456
405	0.2350271182
406	0.2350063625
407	0.2349850569
408	0.2349629631
409	0.234924527
410	0.2348975631
411	0.2348732326
412	0.2348332556
413	0.234807845
414	0.2347838031
415	0.2347580844
416	0.2347280165
417	0.2347017038
418	0.2346767751
419	0.2346554582
420	0.2346167741
421	0.2345887235
422	0.2345635297
423	0.234540608
424	0.2345135826
425	0.2344818197
426	0.2344462993
427	0.2344253667
428	0.2344012084
429	0.2343718755
430	0.2343412363
431	0.234314294
432	0.2342829913
433	0.2342508932
434	0.23422548
435	0.2341902624
436	0.2341657749
437	0.2341420623
438	0.2341114657
439	0.234079833
440	0.234049947
441	0.2340274147
442	0.2339941855
443	0.2339681206
444	0.2339391287
445	0.233912787
446	0.233896216
447	0.2338784993
448	0.233853908
449	0.2338153894
450	0.2337867008
451	0.2337625149
452	0.2337420858
453	0.2337168025
454	0.2336861018
455	0.2336538726
456	0.2336120744
457	0.2335841944
458	0.2335438768
459	0.2335144115
460	0.2334916801
461	0.2334602669
462	0.2334295764
463	0.2334003589
464	0.233367908
465	0.2333447353
466	0.2333178365
467	0.2332866814
468	0.2332624673
469	0.2332417409
470	0.2332166231
471	0.2331931035
472	0.2331739531
473	0.2331468656
474	0.2331280587
475	0.23310081
476	0.2330762757
477	0.2330484769
478	0.2330197209
479	0.2329874094
480	0.2329700834
481	0.2329466209
482	0.2329199311
483	0.232891057
484	0.2328706997
485	0.2328415365
486	0.2328138452
487	0.2327766723
488	0.2327402798
489	0.232712043
490	0.2326829409
491	0.2326563158
492	0.2326290735
493	0.2326110189
494	0.2325853341
495	0.2325651095
496	0.232531057
497	0.2325113657
498	0.2324835737
499	0.2324609537
500	0.2324261943
501	0.232395532
502	0.2323641481
503	0.2323405713
504	0.2323181045
505	0.2322939199
506	0.2322725596
507	0.2322563058
508	0.2322196729
509	0.2321981461
510	0.2321847713
511	0.2321596618
512	0.2321282893
513	0.2320968332
514	0.2320702868
515	0.232040364
516	0.2320146762
517	0.2319901039
518	0.2319543264
519	0.2319243721
520	0.2319004092
521	0.2318647627
522	0.2318502199
523	0.231838919
524	0.2318140468
525	0.2317904716
526	0.2317630026
527	0.2317384456
528	0.2317075656
529	0.2316777256
530	0.2316461865
531	0.2316193639
532	0.2315908157
533	0.2315685682
534	0.231535243
535	0.2315066142
536	0.231481274
537	0.23146061
538	0.2314336103
539	0.2314048191
540	0.231379894
541	0.2313515273
542	0.231334138
543	0.2313138293
544	0.2312795849
545	0.2312582835
546	0.2312362721
547	0.2312099416
548	0.231175156
549	0.2311519322
550	0.2311205081
551	0.2310930867
552	0.2310612166
553	0.2310377323
554	0.2310088623
555	0.2309819328
556	0.2309580034
557	0.2309312998
558	0.2309074314
559	0.2308811267
560	0.2308499157
561	0.2308341176
562	0.2308176714
563	0.2307923201
564	0.230765793
565	0.2307358444
566	0.2307091949
567	0.2306812756
568	0.2306562363
569	0.2306218394
570	0.2306026213
571	0.2305816277
572	0.2305614479
573	0.2305403674
574	0.2305217361
575	0.2304985112
576	0.2304820505
577	0.2304484667
578	0.2304210046
579	0.2303938451
580	0.2303655523
581	0.2303387025
582	0.2303171607
583	0.2302895942
584	0.2302704768
585	0.230243868
586	0.2302256798
587	0.2302100056
588	0.2301843139
589	0.230160994
590	0.2301403965
591	0.2301186921
592	0.2300912956
593	0.2300683578
594	0.2300475258
595	0.2300304107
596	0.2300036814
597	0.2299830685
598	0.229960143
599	0.229938402
600	0.2299170976
601	0.2298952643
602	0.2298715464
603	0.2298458715
604	0.2298253135
605	0.2298078035
606	0.22978864
607	0.2297668465
608	0.2297492824
609	0.2297281462
610	0.2297014614
611	0.2296788879
612	0.2296590962
613	0.2296394306
614	0.2296146663
615	0.2295880712
616	0.2295559152
617	0.2295320064
618	0.2295091485
619	0.2294787607
620	0.229461575
621	0.2294389863
622	0.2294206472
623	0.2293945445
624	0.2293719757
625	0.2293372633
626	0.2293133814
627	0.2292867091
628	0.2292615315
629	0.2292322707
630	0.2292056103
631	0.2291900093
632	0.2291633523
633	0.229136044
634	0.2291127124
635	0.2290894429
636	0.2290655203
637	0.2290482816
638	0.2290235927
639	0.2290030184
640	0.2289755323
641	0.2289521838
642	0.2289295362
643	0.2289050407
644	0.2288797749
645	0.2288575075
646	0.2288331373
647	0.2288189443
648	0.2287905554
649	0.2287672232
650	0.22874145
651	0.2287082046
652	0.2286773115
653	0.2286499347
654	0.228629515
655	0.2286093024
656	0.2285932524
657	0.2285712743
658	0.2285404885
659	0.2285129466
660	0.22849015
661	0.2284647867
662	0.2284369171
663	0.2284206988
664	0.2283937314
665	0.2283700027
666	0.2283516241
667	0.2283299333
668	0.2283084947
669	0.2282873736
670	0.2282662838
671	0.2282490914
672	0.2282273829
673	0.2282026234
674	0.2281818983
675	0.2281607609
676	0.2281399428
677	0.2281194536
678	0.2280930297
679	0.2280687603
680	0.2280438666
681	0.2280236543
682	0.2280041976
683	0.2279875285
684	0.2279735093
685	0.227956081
686	0.227933169
687	0.2279078546
688	0.2278753077
689	0.227850133
690	0.2278315962
691	0.2278196172
692	0.2277980809
693	0.2277758579
694	0.2277541481
695	0.2277366163
696	0.2277198784
697	0.2277034649
698	0.2276875898
699	0.2276632333
700	0.2276392362
701	0.2276189373
702	0.2275920443
703	0.2275680853
704	0.2275532153
705	0.2275312721
706	0.2275121533
707	0.2274856325
708	0.2274671719
709	0.2274484532
710	0.2274291771
711	0.2274091437
712	0.2273892081
713	0.2273656681
714	0.2273400106
715	0.2273237561
716	0.2272999049
717	0.2272751496
718	0.2272522879
719	0.2272205841
720	0.2272039181
721	0.2271881388
722	0.2271665427
723	0.2271474698
724	0.2271269698
725	0.2271096583
726	0.22708198
727	0.2270536116
728	0.2270369275
729	0.2270165405
730	0.2269981905
731	0.2269753767
732	0.2269513537
733	0.2269281176
734	0.2269047119
735	0.226883202
736	0.226862009
737	0.2268411687
738	0.2268225312
739	0.226805579
740	0.2267861401
741	0.226764765
742	0.2267460154
743	0.2267208243
744	0.2267035274
745	0.2266838197
746	0.2266524046
747	0.2266334839
748	0.2266060708
749	0.226569794
750	0.2265548141
751	0.2265342098
752	0.2265176996
753	0.2264960543
754	0.2264731545
755	0.2264593429
756	0.2264442329
757	0.2264248172
758	0.2264000492
759	0.2263774671
760	0.2263487298
761	0.2263301703
762	0.2263066049
763	0.2262899099
764	0.2262633237
765	0.2262434275
766	0.2262236655
767	0.2262088756
768	0.226187786
769	0.2261723165
770	0.2261565458
771	0.2261379154
772	0.2261233915
773	0.2260981774
774	0.226073043
775	0.2260537668
776	0.2260250636
777	0.2260086826
778	0.2259889667
779	0.2259676637
780	0.225949786
781	0.2259238476
782	0.2259074424
783	0.22588756
784	0.2258663255
785	0.2258503581
786	0.2258262587
787	0.2258099208
788	0.2257881879
789	0.2257613731
790	0.2257421322
791	0.2257173972
792	0.225701259
793	0.2256792309
794	0.2256589198
795	0.2256401798
796	0.2256236059
797	0.2256003071
798	0.2255758096
799	0.2255613838
800	0.2255404199
801	0.2255187911
802	0.2255009216
803	0.2254772282
804	0.2254563919
805	0.2254414239
806	0.2254165137
807	0.2253975932
808	0.2253828685
809	0.2253575171
810	0.2253393722
811	0.2253199372
812	0.2252971057
813	0.2252772797
814	0.2252572577
815	0.2252444995
816	0.2252206287
817	0.2251972633
818	0.2251769124
819	0.2251554548
820	0.2251318311
821	0.2251152206
822	0.2250916317
823	0.2250697942
824	0.2250437354
825	0.225020722
826	0.2250036257
827	0.2249880504
828	0.2249634011
829	0.2249453391
830	0.2249250536
831	0.2249033463
832	0.2248784417
833	0.2248573165
834	0.2248408295
835	0.2248119978
836	0.224794474
837	0.2247752372
838	0.2247547751
839	0.2247291147
840	0.2247127212
841	0.2246878215
842	0.2246734779
843	0.2246540946
844	0.2246394784
845	0.2246163711
846	0.2245919533
847	0.2245673946
848	0.2245512642
849	0.2245308411
850	0.2245111894
851	0.2244940505
852	0.2244763684
853	0.2244512629
854	0.2244281801
855	0.2244089541
856	0.2243882205
857	0.2243638112
858	0.2243424812
859	0.224327192
860	0.2243093377
861	0.224281839
862	0.2242574686
863	0.2242354359
864	0.2242155044
865	0.224197909
866	0.2241766252
867	0.224152986
868	0.2241331062
869	0.2241086137
870	0.2240791351
871	0.2240648812
872	0.2240414958
873	0.2240242329
874	0.2240064058
875	0.2239907686
876	0.2239763274
877	0.2239625684
878	0.2239417935
879	0.2239235619
880	0.2239084654
881	0.2238843999
882	0.2238687905
883	0.2238485064
884	0.2238306655
885	0.2238069042
886	0.2237768769
887	0.2237546053
888	0.2237349846
889	0.2237131742
890	0.2236908727
891	0.2236737252
892	0.2236569792
893	0.2236352832
894	0.2236151851
895	0.2236007764
896	0.2235759775
897	0.2235540327
898	0.2235396894
899	0.2235216709
900	0.2234982107
901	0.223477118
902	0.2234588848
903	0.2234392404
904	0.2234227059
905	0.2234051077
906	0.2233854655
907	0.2233641614
908	0.2233478904
909	0.223330873
910	0.223308976
911	0.223281061
912	0.2232648751
913	0.2232445192
914	0.2232342975
915	0.2232162017
916	0.2232009778
917	0.2231815062
918	0.2231583229
919	0.2231334619
920	0.2231205076
921	0.2231017293
922	0.223080992
923	0.2230668303
924	0.2230537988
925	0.2230320628
926	0.2230120431
927	0.2229940679
928	0.222975234
929	0.2229615132
930	0.2229379001
931	0.2229258371
932	0.2229103411
933	0.2228918518
934	0.222873862
935	0.2228486516
936	0.2228307907
937	0.2228122537
938	0.2227925311
939	0.2227794166
940	0.222758214
941	0.2227371228
942	0.2227184449
943	0.2227033091
944	0.2226891583
945	0.2226686358
946	0.2226496243
947	0.2226295896
948	0.2226179716
949	0.2225959101
950	0.2225834225
951	0.2225609868
952	0.2225400768
953	0.2225224977
954	0.2225064085
955	0.2224840596
956	0.2224610438
957	0.2224429871
958	0.2224293829
959	0.2224056855
960	0.2223884784
961	0.2223687054
962	0.222349892
963	0.2223304664
964	0.2223128552
965	0.2222899231
966	0.222269841
967	0.2222558026
968	0.222240673
969	0.2222202614
970	0.2221900508
971	0.2221735435
972	0.2221523327
973	0.2221376272
974	0.2221218783
975	0.2221029561
976	0.2220828658
977	0.2220588668
978	0.2220363552
979	0.222021054
980	0.2220005645
981	0.2219760803
982	0.2219546158
983	0.221931111
984	0.221916857
985	0.2218957209
986	0.2218766074
987	0.2218575516
988	0.2218432419
989	0.2218245206
990	0.2218085126
991	0.2217901399
992	0.2217667084
993	0.2217531409
994	0.2217388381
995	0.2217179067
996	0.2216990618
997	0.2216809485
998	0.2216626774
999	0.2216404777
